LINE 1 | UNKNOWN    -> #
LINE 1 | IDENTIFIER -> include
LINE 1 | OPERATOR   -> <
LINE 1 | IDENTIFIER -> stdio
LINE 1 | UNKNOWN    -> .
LINE 1 | IDENTIFIER -> h
LINE 1 | OPERATOR   -> >
LINE 3 | KEYWORD    -> void
LINE 3 | IDENTIFIER -> findwaitingtime
LINE 3 | SYMBOL     -> (
LINE 3 | KEYWORD    -> int
LINE 3 | IDENTIFIER -> at
LINE 3 | SYMBOL     -> [
LINE 3 | SYMBOL     -> ]
LINE 3 | SYMBOL     -> ,
LINE 3 | KEYWORD    -> int
LINE 3 | IDENTIFIER -> n
LINE 3 | SYMBOL     -> ,
LINE 3 | KEYWORD    -> int
LINE 3 | IDENTIFIER -> bt
LINE 3 | SYMBOL     -> [
LINE 3 | SYMBOL     -> ]
LINE 3 | SYMBOL     -> ,
LINE 3 | KEYWORD    -> int
LINE 3 | IDENTIFIER -> wt
LINE 3 | SYMBOL     -> [
LINE 3 | SYMBOL     -> ]
LINE 3 | SYMBOL     -> )
LINE 4 | SYMBOL     -> {
LINE 5 | IDENTIFIER -> wt
LINE 5 | SYMBOL     -> [
LINE 5 | NUMBER     -> 0
LINE 5 | SYMBOL     -> ]
LINE 5 | OPERATOR   -> =
LINE 5 | NUMBER     -> 0
LINE 5 | SYMBOL     -> ;
LINE 6 | KEYWORD    -> for
LINE 6 | SYMBOL     -> (
LINE 6 | KEYWORD    -> int
LINE 6 | IDENTIFIER -> i
LINE 6 | OPERATOR   -> =
LINE 6 | NUMBER     -> 1
LINE 6 | SYMBOL     -> ;
LINE 6 | IDENTIFIER -> i
LINE 6 | OPERATOR   -> <
LINE 6 | IDENTIFIER -> n
LINE 6 | SYMBOL     -> ;
LINE 6 | IDENTIFIER -> i
LINE 6 | OPERATOR   -> ++
LINE 6 | SYMBOL     -> )
LINE 7 | SYMBOL     -> {
LINE 8 | KEYWORD    -> if
LINE 8 | SYMBOL     -> (
LINE 8 | IDENTIFIER -> bt
LINE 8 | SYMBOL     -> [
LINE 8 | IDENTIFIER -> i
LINE 8 | OPERATOR   -> -
LINE 8 | NUMBER     -> 1
LINE 8 | SYMBOL     -> ]
